,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,30.4
1,1904,29.8
2,1908,30.0
3,1912,29.3
4,1916,29.3
5,1920,29.9
6,1924,29.1
7,1928,28.1
8,1932,28.8
9,1936,28.2
10,1940,29.2
11,1944,27.7
12,1948,27.6
13,1952,27.2
14,1956,25.9
15,1960,27.3
16,1964,25.2
17,1968,24.5
18,1972,24.1
19,1976,25.9
20,1980,25.8
21,1984,23.7
22,1988,26.6
23,1992,27.9
24,1996,27.7
25,2000,28.5
26,2004,27.6
27,2008,27.6
28,2012,28.2
29,2016,29.3
