,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,27.4
1,1904,28.3
2,1908,28.1
3,1912,28.6
4,1916,28.4
5,1920,26.5
6,1924,26.6
7,1928,25.8
8,1932,25.2
9,1936,26.0
10,1940,27.5
11,1944,25.7
12,1948,24.3
13,1952,23.4
14,1956,21.2
15,1960,23.3
16,1964,22.8
17,1968,21.4
18,1972,21.7
19,1976,23.4
20,1980,23.1
21,1984,21.8
22,1988,24.6
23,1992,25.1
24,1996,25.4
25,2000,26.7
26,2004,27.2
27,2008,29.2
28,2012,30.1
29,2016,31.9
