,date,In DATE: The firefighter had to rescue the woman from the burning building because MASK could not just stand by and do nothing.
0,1901,62.3
1,1904,62.2
2,1908,63.1
3,1912,62.4
4,1916,59.4
5,1920,63.2
6,1924,61.1
7,1928,61.9
8,1932,62.0
9,1936,61.7
10,1940,61.4
11,1944,58.0
12,1948,60.7
13,1952,58.5
14,1956,59.5
15,1960,61.7
16,1964,62.2
17,1968,60.5
18,1972,60.0
19,1976,62.3
20,1980,63.6
21,1984,62.4
22,1988,62.1
23,1992,62.2
24,1996,61.0
25,2000,65.0
26,2004,63.2
27,2008,64.9
28,2012,66.0
29,2016,64.5
