,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,11.3
1,1904,11.0
2,1908,10.7
3,1912,11.9
4,1916,12.2
5,1920,12.2
6,1924,12.2
7,1928,12.7
8,1932,11.3
9,1936,11.7
10,1940,12.0
11,1944,13.2
12,1948,12.9
13,1952,13.6
14,1956,12.2
15,1960,12.8
16,1964,14.3
17,1968,14.1
18,1972,15.1
19,1976,15.7
20,1980,15.4
21,1984,15.4
22,1988,15.9
23,1992,15.3
24,1996,17.0
25,2000,17.5
26,2004,17.8
27,2008,17.3
28,2012,19.2
29,2016,19.7
