,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,27.9
1,1904,29.6
2,1908,26.7
3,1912,26.8
4,1916,27.3
5,1920,24.1
6,1924,25.3
7,1928,26.8
8,1932,28.2
9,1936,27.8
10,1940,27.3
11,1944,30.0
12,1948,27.9
13,1952,28.6
14,1956,29.2
15,1960,27.4
16,1964,29.7
17,1968,28.2
18,1972,29.8
19,1976,29.5
20,1980,27.1
21,1984,27.7
22,1988,27.0
23,1992,27.9
24,1996,26.7
25,2000,24.7
26,2004,25.7
27,2008,25.1
28,2012,24.5
29,2016,23.1
