,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,32.5
1,1904,30.5
2,1908,32.4
3,1912,34.2
4,1916,33.2
5,1920,32.0
6,1924,35.1
7,1928,32.7
8,1932,34.1
9,1936,34.9
10,1940,34.8
11,1944,34.5
12,1948,36.5
13,1952,36.8
14,1956,36.7
15,1960,38.5
16,1964,37.5
17,1968,38.6
18,1972,39.2
19,1976,39.9
20,1980,41.7
21,1984,42.2
22,1988,43.6
23,1992,44.1
24,1996,45.0
25,2000,46.1
26,2004,46.2
27,2008,49.1
28,2012,50.9
29,2016,51.3
