,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,86.7
1,1904,87.2
2,1908,86.5
3,1912,86.3
4,1916,86.2
5,1920,87.1
6,1924,85.4
7,1928,86.2
8,1932,84.2
9,1936,85.2
10,1940,82.5
11,1944,79.9
12,1948,81.7
13,1952,81.4
14,1956,80.7
15,1960,80.8
16,1964,79.4
17,1968,78.8
18,1972,77.1
19,1976,80.1
20,1980,76.6
21,1984,79.2
22,1988,75.2
23,1992,75.3
24,1996,75.4
25,2000,73.0
26,2004,74.0
27,2008,73.7
28,2012,70.7
29,2016,69.3
