,date,In DATE: The painter sold an entire collection of paintings to the customer because MASK made an offer that was hard to refuse.
0,1901,92.7
1,1904,91.8
2,1908,92.4
3,1912,91.8
4,1916,91.4
5,1920,91.5
6,1924,91.8
7,1928,91.8
8,1932,91.6
9,1936,92.3
10,1940,91.2
11,1944,91.0
12,1948,91.9
13,1952,91.5
14,1956,91.6
15,1960,91.0
16,1964,91.1
17,1968,91.0
18,1972,90.7
19,1976,90.9
20,1980,89.7
21,1984,89.5
22,1988,89.0
23,1992,89.6
24,1996,89.6
25,2000,89.2
26,2004,88.9
27,2008,89.3
28,2012,88.5
29,2016,87.8
