,date,In DATE: The carpenter told the onlooker that MASK needed to stand at least thirty feet from the building site.
0,1901,100.0
1,1904,99.1
2,1908,100.0
3,1912,100.0
4,1916,99.0
5,1920,100.0
6,1924,98.9
7,1928,98.9
8,1932,98.9
9,1936,98.8
10,1940,98.8
11,1944,98.9
12,1948,98.7
13,1952,98.7
14,1956,98.8
15,1960,98.7
16,1964,98.5
17,1968,98.6
18,1972,98.5
19,1976,98.3
20,1980,98.3
21,1984,98.2
22,1988,98.3
23,1992,98.3
24,1996,97.9
25,2000,98.1
26,2004,97.8
27,2008,97.8
28,2012,97.8
29,2016,97.4
