,date,In DATE: The dietitian encouraged someone to eat three square meals a day because MASK was not getting enough to eat.
0,1901,91.3
1,1904,91.4
2,1908,90.9
3,1912,91.3
4,1916,91.8
5,1920,91.3
6,1924,91.1
7,1928,91.2
8,1932,91.3
9,1936,91.2
10,1940,91.7
11,1944,91.3
12,1948,91.8
13,1952,91.9
14,1956,92.0
15,1960,91.4
16,1964,91.9
17,1968,92.4
18,1972,92.1
19,1976,91.4
20,1980,91.0
21,1984,91.2
22,1988,90.4
23,1992,90.3
24,1996,89.3
25,2000,88.9
26,2004,88.9
27,2008,87.8
28,2012,87.4
29,2016,86.5
