,date,In DATE: The painter sold an entire collection of paintings to someone because MASK made an offer that was hard to refuse.
0,1901,94.8
1,1904,94.6
2,1908,94.5
3,1912,94.6
4,1916,94.6
5,1920,93.9
6,1924,94.3
7,1928,94.0
8,1932,94.1
9,1936,94.0
10,1940,93.7
11,1944,93.4
12,1948,93.9
13,1952,93.6
14,1956,93.3
15,1960,92.3
16,1964,93.1
17,1968,93.2
18,1972,93.2
19,1976,93.4
20,1980,91.8
21,1984,92.1
22,1988,91.2
23,1992,91.6
24,1996,91.9
25,2000,91.2
26,2004,90.4
27,2008,90.7
28,2012,90.7
29,2016,90.2
