,date,In DATE: The painter sold an entire collection of paintings to someone because MASK had to shut down the gallery.
0,1901,88.7
1,1904,90.5
2,1908,86.3
3,1912,89.4
4,1916,89.4
5,1920,88.0
6,1924,89.8
7,1928,88.0
8,1932,87.9
9,1936,88.1
10,1940,86.8
11,1944,83.9
12,1948,79.9
13,1952,80.9
14,1956,79.0
15,1960,79.2
16,1964,78.3
17,1968,79.4
18,1972,77.6
19,1976,76.8
20,1980,74.6
21,1984,73.3
22,1988,70.2
23,1992,69.2
24,1996,66.7
25,2000,67.9
26,2004,66.0
27,2008,63.8
28,2012,62.8
29,2016,60.4
