,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,12.6
1,1904,12.4
2,1908,13.3
3,1912,13.5
4,1916,13.2
5,1920,11.7
6,1924,12.1
7,1928,13.6
8,1932,13.7
9,1936,13.9
10,1940,13.3
11,1944,13.4
12,1948,13.2
13,1952,14.0
14,1956,12.9
15,1960,13.9
16,1964,13.8
17,1968,13.8
18,1972,14.6
19,1976,15.1
20,1980,14.9
21,1984,14.8
22,1988,16.7
23,1992,17.4
24,1996,17.4
25,2000,19.3
26,2004,19.0
27,2008,19.8
28,2012,21.9
29,2016,23.8
