,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve his diet.
0,1901,89.7
1,1904,100.0
2,1908,89.3
3,1912,88.5
4,1916,90.4
5,1920,88.4
6,1924,88.9
7,1928,89.4
8,1932,88.7
9,1936,89.2
10,1940,89.0
11,1944,89.5
12,1948,87.8
13,1952,88.7
14,1956,89.9
15,1960,89.3
16,1964,89.8
17,1968,90.7
18,1972,89.6
19,1976,87.9
20,1980,86.5
21,1984,87.7
22,1988,85.7
23,1992,84.2
24,1996,82.8
25,2000,81.6
26,2004,81.1
27,2008,80.7
28,2012,77.7
29,2016,76.7
