,date,In DATE: The painter sold an entire collection of paintings to the man because MASK had to shut down the gallery.
0,1901,98.9
1,1904,98.9
2,1908,98.9
3,1912,98.9
4,1916,98.8
5,1920,98.6
6,1924,98.8
7,1928,98.7
8,1932,98.8
9,1936,98.9
10,1940,98.7
11,1944,98.5
12,1948,98.7
13,1952,98.7
14,1956,98.5
15,1960,98.2
16,1964,98.5
17,1968,98.3
18,1972,98.4
19,1976,98.3
20,1980,97.9
21,1984,98.1
22,1988,97.8
23,1992,98.0
24,1996,97.9
25,2000,97.8
26,2004,97.7
27,2008,97.6
28,2012,97.6
29,2016,97.4
