,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,82.5
1,1904,82.7
2,1908,83.2
3,1912,82.7
4,1916,81.1
5,1920,82.9
6,1924,81.8
7,1928,83.4
8,1932,80.3
9,1936,79.5
10,1940,80.4
11,1944,81.2
12,1948,80.4
13,1952,78.3
14,1956,78.9
15,1960,78.8
16,1964,78.2
17,1968,78.4
18,1972,77.1
19,1976,79.1
20,1980,74.5
21,1984,73.8
22,1988,72.9
23,1992,71.2
24,1996,71.4
25,2000,72.3
26,2004,70.5
27,2008,69.3
28,2012,67.9
29,2016,66.8
