,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,97.5
1,1904,97.7
2,1908,97.5
3,1912,97.6
4,1916,97.6
5,1920,97.6
6,1924,97.6
7,1928,97.5
8,1932,97.9
9,1936,97.8
10,1940,97.9
11,1944,97.7
12,1948,97.9
13,1952,97.8
14,1956,98.1
15,1960,97.8
16,1964,98.0
17,1968,98.2
18,1972,98.0
19,1976,98.0
20,1980,97.8
21,1984,98.0
22,1988,97.8
23,1992,97.3
24,1996,97.2
25,2000,96.6
26,2004,97.0
27,2008,96.4
28,2012,96.1
29,2016,95.8
