,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,78.5
1,1904,78.2
2,1908,81.4
3,1912,79.2
4,1916,80.7
5,1920,76.4
6,1924,77.3
7,1928,76.6
8,1932,75.7
9,1936,77.4
10,1940,76.7
11,1944,77.1
12,1948,76.2
13,1952,73.9
14,1956,75.5
15,1960,75.1
16,1964,73.2
17,1968,72.7
18,1972,70.7
19,1976,70.4
20,1980,69.4
21,1984,68.1
22,1988,68.2
23,1992,68.2
24,1996,63.8
25,2000,66.3
26,2004,61.3
27,2008,61.8
28,2012,57.5
29,2016,55.6
