,date,In DATE: The planner spoke with the man who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,92.6
1,1904,93.4
2,1908,91.3
3,1912,91.1
4,1916,92.6
5,1920,93.6
6,1924,92.3
7,1928,90.7
8,1932,90.9
9,1936,90.6
10,1940,90.0
11,1944,89.5
12,1948,89.9
13,1952,89.8
14,1956,90.1
15,1960,90.6
16,1964,91.7
17,1968,91.3
18,1972,91.1
19,1976,90.2
20,1980,90.0
21,1984,90.0
22,1988,88.9
23,1992,89.3
24,1996,89.5
25,2000,90.5
26,2004,89.6
27,2008,88.9
28,2012,90.3
29,2016,91.0
