,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,20.5
1,1904,20.3
2,1908,19.3
3,1912,20.1
4,1916,21.0
5,1920,20.1
6,1924,20.6
7,1928,20.0
8,1932,22.0
9,1936,22.1
10,1940,21.1
11,1944,21.4
12,1948,21.6
13,1952,23.2
14,1956,22.4
15,1960,21.7
16,1964,22.8
17,1968,22.6
18,1972,23.2
19,1976,22.9
20,1980,26.1
21,1984,27.6
22,1988,27.6
23,1992,28.3
24,1996,28.2
25,2000,27.3
26,2004,29.4
27,2008,28.6
28,2012,30.8
29,2016,31.3
