,date,In DATE: The firefighter had to rescue the man from the burning building because MASK could not just stand by and do nothing.
0,1901,99.6
1,1904,99.7
2,1908,99.6
3,1912,99.6
4,1916,99.6
5,1920,99.7
6,1924,99.6
7,1928,99.6
8,1932,99.6
9,1936,99.6
10,1940,99.6
11,1944,99.6
12,1948,99.5
13,1952,99.5
14,1956,99.5
15,1960,99.4
16,1964,99.3
17,1968,99.3
18,1972,99.3
19,1976,99.3
20,1980,99.2
21,1984,99.0
22,1988,98.9
23,1992,98.9
24,1996,98.9
25,2000,99.0
26,2004,98.9
27,2008,98.8
28,2012,98.5
29,2016,97.6
