,date,In DATE: The nutritionist explained to someone that it was MASK belief that diet and exercise were equally important.
0,1901,95.5
1,1904,95.4
2,1908,95.9
3,1912,95.3
4,1916,94.6
5,1920,93.4
6,1924,94.6
7,1928,95.0
8,1932,95.2
9,1936,94.9
10,1940,93.8
11,1944,93.4
12,1948,94.4
13,1952,93.7
14,1956,93.2
15,1960,91.4
16,1964,92.7
17,1968,92.2
18,1972,92.7
19,1976,93.1
20,1980,89.2
21,1984,90.4
22,1988,89.8
23,1992,89.2
24,1996,88.8
25,2000,87.4
26,2004,85.6
27,2008,86.2
28,2012,86.4
29,2016,85.5
