,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,88.7
1,1904,89.0
2,1908,89.3
3,1912,88.1
4,1916,87.8
5,1920,87.8
6,1924,87.8
7,1928,87.3
8,1932,88.7
9,1936,88.3
10,1940,88.0
11,1944,86.8
12,1948,87.1
13,1952,86.4
14,1956,87.8
15,1960,87.2
16,1964,85.7
17,1968,85.9
18,1972,84.9
19,1976,84.3
20,1980,84.6
21,1984,84.6
22,1988,84.1
23,1992,84.7
24,1996,83.0
25,2000,82.5
26,2004,82.2
27,2008,82.7
28,2012,80.8
29,2016,80.3
