,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,98.6
1,1904,98.6
2,1908,98.7
3,1912,98.6
4,1916,98.7
5,1920,98.5
6,1924,98.5
7,1928,98.5
8,1932,98.4
9,1936,98.6
10,1940,98.5
11,1944,98.3
12,1948,98.4
13,1952,98.3
14,1956,98.5
15,1960,98.4
16,1964,98.1
17,1968,98.3
18,1972,98.3
19,1976,98.0
20,1980,97.9
21,1984,97.9
22,1988,98.0
23,1992,98.1
24,1996,97.7
25,2000,97.6
26,2004,97.4
27,2008,97.6
28,2012,97.0
29,2016,97.1
