,date,In DATE: The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.
0,1901,93.1
1,1904,93.7
2,1908,94.1
3,1912,94.0
4,1916,94.8
5,1920,92.8
6,1924,93.5
7,1928,93.9
8,1932,94.5
9,1936,95.0
10,1940,94.4
11,1944,94.3
12,1948,93.9
13,1952,94.0
14,1956,94.7
15,1960,94.1
16,1964,94.3
17,1968,94.6
18,1972,94.7
19,1976,94.5
20,1980,94.9
21,1984,95.2
22,1988,95.5
23,1992,95.3
24,1996,95.4
25,2000,95.4
26,2004,95.5
27,2008,95.6
28,2012,95.0
29,2016,94.6
