,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,81.1
1,1904,81.4
2,1908,78.9
3,1912,79.4
4,1916,79.4
5,1920,79.5
6,1924,77.6
7,1928,79.3
8,1932,79.4
9,1936,78.6
10,1940,79.5
11,1944,77.6
12,1948,79.9
13,1952,77.3
14,1956,75.9
15,1960,75.1
16,1964,75.2
17,1968,73.8
18,1972,73.4
19,1976,74.6
20,1980,74.4
21,1984,74.8
22,1988,75.3
23,1992,75.1
24,1996,76.7
25,2000,74.5
26,2004,75.2
27,2008,74.8
28,2012,74.3
29,2016,74.0
