,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,62.6
1,1904,54.3
2,1908,58.1
3,1912,67.5
4,1916,70.4
5,1920,67.6
6,1924,65.4
7,1928,69.4
8,1932,76.6
9,1936,77.4
10,1940,81.0
11,1944,81.1
12,1948,82.2
13,1952,86.5
14,1956,85.0
15,1960,86.9
16,1964,87.5
17,1968,87.8
18,1972,90.3
19,1976,90.4
20,1980,94.3
21,1984,95.0
22,1988,95.7
23,1992,95.9
24,1996,96.2
25,2000,96.1
26,2004,97.1
27,2008,98.0
28,2012,98.1
29,2016,98.5
