,date,In DATE: The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.
0,1901,14.4
1,1904,12.8
2,1908,14.1
3,1912,15.1
4,1916,16.2
5,1920,14.3
6,1924,15.4
7,1928,14.4
8,1932,15.4
9,1936,16.8
10,1940,17.6
11,1944,17.9
12,1948,18.3
13,1952,18.2
14,1956,18.8
15,1960,18.4
16,1964,19.4
17,1968,18.9
18,1972,20.3
19,1976,20.2
20,1980,21.5
21,1984,21.7
22,1988,22.5
23,1992,23.9
24,1996,24.5
25,2000,22.6
26,2004,25.4
27,2008,26.1
28,2012,25.6
29,2016,27.6
