,date,In DATE: The nutritionist explained to the woman that cutting down on sugar would be an effective way to improve his diet.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,99.6
12,1948,100.0
13,1952,99.6
14,1956,99.6
15,1960,100.0
16,1964,100.0
17,1968,100.0
18,1972,100.0
19,1976,99.5
20,1980,99.7
21,1984,99.6
22,1988,100.0
23,1992,99.6
24,1996,99.6
25,2000,99.7
26,2004,99.6
27,2008,99.6
28,2012,99.7
29,2016,99.7
