,date,In DATE: The nutritionist explained to the woman that it was MASK belief that diet and exercise were equally important.
0,1901,36.8
1,1904,36.9
2,1908,36.9
3,1912,36.0
4,1916,36.8
5,1920,38.5
6,1924,36.9
7,1928,38.5
8,1932,35.4
9,1936,33.6
10,1940,39.6
11,1944,39.4
12,1948,38.4
13,1952,38.5
14,1956,39.0
15,1960,40.4
16,1964,41.6
17,1968,43.2
18,1972,40.0
19,1976,39.6
20,1980,46.9
21,1984,46.5
22,1988,46.4
23,1992,44.0
24,1996,45.6
25,2000,50.7
26,2004,48.9
27,2008,48.3
28,2012,49.0
29,2016,50.0
