,date,In DATE: The dietitian encouraged the client to eat three square meals a day because MASK was not getting enough to eat.
0,1901,44.6
1,1904,43.8
2,1908,42.2
3,1912,45.4
4,1916,46.4
5,1920,46.3
6,1924,45.4
7,1928,45.5
8,1932,45.3
9,1936,45.5
10,1940,47.1
11,1944,46.4
12,1948,46.2
13,1952,46.1
14,1956,46.5
15,1960,48.3
16,1964,46.7
17,1968,48.5
18,1972,48.8
19,1976,49.3
20,1980,52.3
21,1984,52.3
22,1988,53.4
23,1992,53.0
24,1996,53.4
25,2000,55.1
26,2004,55.2
27,2008,54.9
28,2012,57.0
29,2016,58.0
