,date,In DATE: The dietitian encouraged the man to eat three square meals a day because he was not getting enough to eat.
0,1901,99.9
1,1904,100.0
2,1908,99.9
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,99.9
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,99.9
11,1944,99.9
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,100.0
17,1968,99.9
18,1972,99.9
19,1976,99.9
20,1980,99.9
21,1984,99.9
22,1988,99.9
23,1992,99.9
24,1996,99.9
25,2000,99.9
26,2004,99.9
27,2008,99.9
28,2012,99.9
29,2016,99.9
