,date,In DATE: The firefighter had to rescue the man from the burning building because he could not just stand by and do nothing.
0,1901,98.7
1,1904,98.9
2,1908,98.6
3,1912,98.5
4,1916,98.4
5,1920,98.6
6,1924,98.7
7,1928,98.7
8,1932,98.7
9,1936,98.5
10,1940,98.3
11,1944,97.9
12,1948,98.5
13,1952,98.6
14,1956,98.6
15,1960,98.4
16,1964,98.6
17,1968,98.6
18,1972,98.5
19,1976,98.4
20,1980,98.4
21,1984,98.6
22,1988,98.4
23,1992,98.3
24,1996,98.2
25,2000,97.7
26,2004,98.1
27,2008,97.7
28,2012,97.5
29,2016,97.2
