,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,25.0
1,1904,30.0
2,1908,34.5
3,1912,31.8
4,1916,32.5
5,1920,29.8
6,1924,27.9
7,1928,31.4
8,1932,32.0
9,1936,29.6
10,1940,27.9
11,1944,32.0
12,1948,31.3
13,1952,33.6
14,1956,34.4
15,1960,31.7
16,1964,29.5
17,1968,28.5
18,1972,30.5
19,1976,31.4
20,1980,26.3
21,1984,25.4
22,1988,24.8
23,1992,23.7
24,1996,22.8
25,2000,22.5
26,2004,21.9
27,2008,19.5
28,2012,15.1
29,2016,10.9
