,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,68.8
1,1904,69.9
2,1908,69.1
3,1912,67.4
4,1916,68.5
5,1920,67.2
6,1924,67.7
7,1928,70.0
8,1932,69.9
9,1936,70.9
10,1940,70.0
11,1944,70.7
12,1948,69.5
13,1952,68.4
14,1956,69.2
15,1960,65.3
16,1964,67.6
17,1968,65.1
18,1972,66.2
19,1976,64.2
20,1980,59.3
21,1984,59.4
22,1988,57.1
23,1992,58.0
24,1996,55.5
25,2000,55.0
26,2004,53.1
27,2008,53.7
28,2012,51.3
29,2016,48.6
