,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,18.9
1,1904,18.6
2,1908,21.1
3,1912,20.6
4,1916,20.6
5,1920,20.5
6,1924,22.4
7,1928,20.7
8,1932,20.6
9,1936,21.4
10,1940,20.5
11,1944,22.4
12,1948,20.1
13,1952,22.7
14,1956,24.1
15,1960,24.9
16,1964,24.8
17,1968,26.2
18,1972,26.6
19,1976,25.4
20,1980,25.6
21,1984,25.2
22,1988,24.7
23,1992,24.9
24,1996,23.3
25,2000,25.5
26,2004,24.8
27,2008,25.2
28,2012,25.7
29,2016,26.0
