,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,18.6
1,1904,17.4
2,1908,18.7
3,1912,16.2
4,1916,18.1
5,1920,20.7
6,1924,19.9
7,1928,19.5
8,1932,19.9
9,1936,20.7
10,1940,20.7
11,1944,21.2
12,1948,22.9
13,1952,21.0
14,1956,20.4
15,1960,22.5
16,1964,21.4
17,1968,22.0
18,1972,22.1
19,1976,21.3
20,1980,22.7
21,1984,23.2
22,1988,24.2
23,1992,26.1
24,1996,26.8
25,2000,29.3
26,2004,28.8
27,2008,32.9
28,2012,35.0
29,2016,38.0
