,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,73.7
1,1904,76.1
2,1908,74.1
3,1912,70.1
4,1916,69.4
5,1920,69.9
6,1924,71.0
7,1928,71.8
8,1932,66.4
9,1936,69.3
10,1940,67.0
11,1944,65.5
12,1948,67.4
13,1952,63.2
14,1956,64.7
15,1960,64.6
16,1964,61.7
17,1968,56.4
18,1972,57.4
19,1976,58.2
20,1980,49.5
21,1984,51.4
22,1988,49.7
23,1992,52.7
24,1996,44.2
25,2000,46.8
26,2004,30.3
27,2008,35.6
28,2012,42.4
29,2016,41.8
