,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,53.8
1,1904,58.0
2,1908,57.0
3,1912,56.5
4,1916,58.1
5,1920,54.8
6,1924,54.8
7,1928,52.4
8,1932,51.9
9,1936,52.4
10,1940,51.5
11,1944,50.5
12,1948,55.8
13,1952,50.9
14,1956,49.9
15,1960,51.4
16,1964,50.9
17,1968,50.1
18,1972,52.2
19,1976,52.0
20,1980,52.6
21,1984,53.3
22,1988,55.3
23,1992,55.0
24,1996,58.2
25,2000,57.6
26,2004,58.5
27,2008,59.7
28,2012,62.7
29,2016,66.6
