,date,In DATE: The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.
0,1901,93.7
1,1904,93.2
2,1908,93.1
3,1912,92.4
4,1916,91.6
5,1920,93.0
6,1924,93.0
7,1928,92.5
8,1932,92.2
9,1936,92.4
10,1940,92.5
11,1944,92.6
12,1948,93.4
13,1952,92.5
14,1956,92.9
15,1960,93.0
16,1964,92.6
17,1968,92.9
18,1972,92.5
19,1976,92.4
20,1980,92.4
21,1984,92.0
22,1988,91.5
23,1992,91.5
24,1996,91.0
25,2000,90.6
26,2004,90.2
27,2008,89.5
28,2012,88.5
29,2016,87.6
