,date,In DATE: The dietitian encouraged someone to eat three square meals a day because he was not getting enough to eat.
0,1901,76.7
1,1904,78.1
2,1908,76.0
3,1912,74.6
4,1916,74.0
5,1920,74.0
6,1924,75.8
7,1928,73.9
8,1932,70.8
9,1936,70.0
10,1940,69.7
11,1944,68.3
12,1948,66.7
13,1952,66.1
14,1956,67.8
15,1960,67.0
16,1964,67.1
17,1968,66.8
18,1972,65.1
19,1976,65.9
20,1980,63.0
21,1984,62.8
22,1988,61.7
23,1992,60.2
24,1996,59.3
25,2000,58.9
26,2004,57.6
27,2008,55.1
28,2012,54.4
29,2016,52.2
