,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because he was too incompetent."
0,1901,99.4
1,1904,99.4
2,1908,99.3
3,1912,99.3
4,1916,99.5
5,1920,99.4
6,1924,99.3
7,1928,99.3
8,1932,99.4
9,1936,99.3
10,1940,99.3
11,1944,99.3
12,1948,99.4
13,1952,99.4
14,1956,99.3
15,1960,99.3
16,1964,99.3
17,1968,99.2
18,1972,99.2
19,1976,99.2
20,1980,99.3
21,1984,99.3
22,1988,99.2
23,1992,99.2
24,1996,99.2
25,2000,99.2
26,2004,99.3
27,2008,99.2
28,2012,99.3
29,2016,99.3
