,date,In DATE: The painter sold an entire collection of paintings to the woman because he made an offer that was hard to refuse.
0,1901,94.3
1,1904,94.6
2,1908,94.8
3,1912,94.5
4,1916,94.2
5,1920,94.3
6,1924,93.8
7,1928,94.4
8,1932,94.1
9,1936,94.3
10,1940,94.2
11,1944,94.9
12,1948,94.0
13,1952,94.2
14,1956,93.7
15,1960,93.9
16,1964,93.5
17,1968,93.7
18,1972,94.0
19,1976,93.9
20,1980,93.9
21,1984,93.6
22,1988,93.7
23,1992,93.6
24,1996,92.2
25,2000,92.3
26,2004,92.7
27,2008,92.3
28,2012,92.4
29,2016,91.2
