,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,17.4
1,1904,17.3
2,1908,16.9
3,1912,17.3
4,1916,18.9
5,1920,17.1
6,1924,18.1
7,1928,16.6
8,1932,19.7
9,1936,20.6
10,1940,19.7
11,1944,18.8
12,1948,19.7
13,1952,21.6
14,1956,21.1
15,1960,21.3
16,1964,21.8
17,1968,21.6
18,1972,22.8
19,1976,21.0
20,1980,25.5
21,1984,26.2
22,1988,27.1
23,1992,28.8
24,1996,28.6
25,2000,27.7
26,2004,29.5
27,2008,30.7
28,2012,32.1
29,2016,33.3
