,date,"In DATE: The janitor warned the man not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,97.5
1,1904,97.7
2,1908,97.5
3,1912,98.3
4,1916,98.3
5,1920,98.0
6,1924,97.5
7,1928,97.9
8,1932,97.8
9,1936,97.9
10,1940,97.7
11,1944,97.6
12,1948,97.2
13,1952,97.4
14,1956,97.6
15,1960,97.4
16,1964,97.4
17,1968,96.7
18,1972,97.5
19,1976,97.1
20,1980,96.9
21,1984,97.0
22,1988,96.3
23,1992,96.3
24,1996,95.9
25,2000,95.8
26,2004,96.0
27,2008,95.1
28,2012,93.8
29,2016,92.3
