,date,In DATE: The bystander called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,10.7
1,1904,11.3
2,1908,11.7
3,1912,12.0
4,1916,10.7
5,1920,10.6
6,1924,10.7
7,1928,10.8
8,1932,10.0
9,1936,10.5
10,1940,10.7
11,1944,10.4
12,1948,9.8
13,1952,9.7
14,1956,10.1
15,1960,10.7
16,1964,10.9
17,1968,11.5
18,1972,12.1
19,1976,13.3
20,1980,13.6
21,1984,13.4
22,1988,15.7
23,1992,15.9
24,1996,17.0
25,2000,17.6
26,2004,16.7
27,2008,18.5
28,2012,19.5
29,2016,20.7
