,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,86.1
1,1904,85.7
2,1908,85.9
3,1912,86.0
4,1916,85.9
5,1920,85.1
6,1924,84.3
7,1928,85.0
8,1932,84.9
9,1936,85.1
10,1940,85.1
11,1944,84.7
12,1948,85.9
13,1952,85.3
14,1956,85.5
15,1960,85.5
16,1964,84.9
17,1968,85.3
18,1972,85.3
19,1976,84.5
20,1980,83.6
21,1984,83.5
22,1988,82.7
23,1992,82.4
24,1996,81.7
25,2000,80.4
26,2004,81.0
27,2008,80.4
28,2012,80.2
29,2016,78.0
