,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,83.7
1,1904,84.2
2,1908,84.8
3,1912,85.5
4,1916,85.3
5,1920,83.3
6,1924,84.4
7,1928,85.2
8,1932,84.0
9,1936,83.7
10,1940,83.6
11,1944,83.1
12,1948,84.1
13,1952,84.1
14,1956,84.4
15,1960,83.9
16,1964,83.5
17,1968,84.3
18,1972,83.5
19,1976,83.7
20,1980,82.9
21,1984,83.9
22,1988,84.2
23,1992,84.0
24,1996,83.8
25,2000,83.3
26,2004,83.2
27,2008,83.7
28,2012,81.8
29,2016,80.7
