,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,75.0
1,1904,70.0
2,1908,65.5
3,1912,68.2
4,1916,67.5
5,1920,70.2
6,1924,72.1
7,1928,68.6
8,1932,68.0
9,1936,70.4
10,1940,72.1
11,1944,68.0
12,1948,68.7
13,1952,66.4
14,1956,65.6
15,1960,68.3
16,1964,70.5
17,1968,71.5
18,1972,69.5
19,1976,68.6
20,1980,73.7
21,1984,74.6
22,1988,75.2
23,1992,76.3
24,1996,77.2
25,2000,77.5
26,2004,78.1
27,2008,80.5
28,2012,84.9
29,2016,89.1
