,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,93.7
1,1904,93.9
2,1908,93.9
3,1912,93.8
4,1916,94.3
5,1920,93.5
6,1924,93.5
7,1928,92.0
8,1932,92.9
9,1936,93.0
10,1940,93.8
11,1944,94.0
12,1948,94.3
13,1952,94.1
14,1956,93.6
15,1960,93.1
16,1964,93.1
17,1968,92.7
18,1972,92.5
19,1976,91.9
20,1980,93.9
21,1984,93.8
22,1988,93.8
23,1992,93.4
24,1996,92.9
25,2000,93.6
26,2004,93.6
27,2008,94.1
28,2012,94.0
29,2016,95.1
