,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,98.6
1,1904,98.6
2,1908,98.7
3,1912,98.6
4,1916,98.1
5,1920,98.3
6,1924,98.4
7,1928,98.2
8,1932,98.3
9,1936,98.5
10,1940,98.5
11,1944,98.3
12,1948,98.8
13,1952,98.9
14,1956,98.8
15,1960,98.8
16,1964,98.7
17,1968,98.5
18,1972,98.8
19,1976,98.8
20,1980,98.9
21,1984,98.8
22,1988,99.0
23,1992,98.8
24,1996,98.9
25,2000,99.0
26,2004,99.1
27,2008,99.2
28,2012,99.2
29,2016,99.2
