,date,In DATE: The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.
0,1901,56.3
1,1904,58.8
2,1908,59.0
3,1912,56.2
4,1916,58.5
5,1920,59.3
6,1924,56.1
7,1928,58.4
8,1932,57.2
9,1936,59.1
10,1940,61.2
11,1944,60.2
12,1948,57.2
13,1952,58.7
14,1956,57.1
15,1960,58.6
16,1964,59.0
17,1968,58.4
18,1972,59.0
19,1976,58.1
20,1980,57.9
21,1984,55.9
22,1988,55.1
23,1992,56.1
24,1996,53.5
25,2000,55.0
26,2004,53.5
27,2008,53.1
28,2012,50.3
29,2016,49.1
