,date,In DATE: The painter sold an entire collection of paintings to the man because MASK had to shut down the gallery.
0,1901,97.8
1,1904,98.1
2,1908,98.2
3,1912,98.2
4,1916,97.8
5,1920,97.6
6,1924,97.9
7,1928,97.8
8,1932,98.0
9,1936,98.0
10,1940,97.8
11,1944,97.9
12,1948,97.5
13,1952,97.9
14,1956,97.9
15,1960,97.7
16,1964,97.5
17,1968,97.4
18,1972,97.6
19,1976,97.2
20,1980,97.3
21,1984,97.4
22,1988,97.5
23,1992,97.5
24,1996,97.0
25,2000,97.0
26,2004,97.1
27,2008,97.1
28,2012,96.6
29,2016,96.2
