,date,In DATE: The planner spoke with someone who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,89.0
1,1904,88.8
2,1908,88.3
3,1912,86.2
4,1916,85.4
5,1920,88.1
6,1924,86.9
7,1928,86.7
8,1932,85.1
9,1936,84.9
10,1940,83.7
11,1944,82.3
12,1948,84.1
13,1952,84.0
14,1956,83.6
15,1960,84.2
16,1964,84.1
17,1968,83.4
18,1972,82.6
19,1976,82.1
20,1980,81.0
21,1984,81.3
22,1988,78.4
23,1992,79.3
24,1996,77.6
25,2000,78.8
26,2004,78.0
27,2008,77.2
28,2012,76.4
29,2016,75.9
