,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,89.9
1,1904,91.4
2,1908,90.7
3,1912,91.1
4,1916,89.9
5,1920,91.1
6,1924,89.4
7,1928,91.0
8,1932,89.5
9,1936,88.2
10,1940,88.2
11,1944,89.2
12,1948,87.4
13,1952,86.5
14,1956,88.2
15,1960,86.8
16,1964,87.1
17,1968,86.7
18,1972,86.3
19,1976,87.3
20,1980,83.4
21,1984,84.1
22,1988,81.5
23,1992,80.3
24,1996,80.9
25,2000,81.6
26,2004,79.5
27,2008,79.1
28,2012,76.7
29,2016,73.8
