,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,35.2
1,1904,32.1
2,1908,35.7
3,1912,37.9
4,1916,33.3
5,1920,36.8
6,1924,40.0
7,1928,40.0
8,1932,40.9
9,1936,40.6
10,1940,43.3
11,1944,40.6
12,1948,47.4
13,1952,49.0
14,1956,47.1
15,1960,51.8
16,1964,49.0
17,1968,51.4
18,1972,50.9
19,1976,52.8
20,1980,60.2
21,1984,58.5
22,1988,62.0
23,1992,63.2
24,1996,64.0
25,2000,66.7
26,2004,65.7
27,2008,67.6
28,2012,65.7
29,2016,67.0
