,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,10.2
1,1904,10.5
2,1908,10.8
3,1912,9.3
4,1916,8.4
5,1920,9.4
6,1924,9.6
7,1928,9.0
8,1932,9.4
9,1936,9.3
10,1940,12.1
11,1944,11.1
12,1948,11.2
13,1952,11.1
14,1956,11.3
15,1960,13.3
16,1964,12.3
17,1968,12.5
18,1972,13.5
19,1976,13.6
20,1980,15.8
21,1984,13.3
22,1988,15.8
23,1992,16.7
24,1996,18.4
25,2000,21.0
26,2004,21.4
27,2008,26.1
28,2012,31.6
29,2016,39.3
