,date,In DATE: The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.
0,1901,91.3
1,1904,90.7
2,1908,90.9
3,1912,89.8
4,1916,88.9
5,1920,90.6
6,1924,90.3
7,1928,90.0
8,1932,89.9
9,1936,90.1
10,1940,90.3
11,1944,90.4
12,1948,90.9
13,1952,90.1
14,1956,90.9
15,1960,90.8
16,1964,90.1
17,1968,90.3
18,1972,90.0
19,1976,89.9
20,1980,90.1
21,1984,89.6
22,1988,89.0
23,1992,88.8
24,1996,88.6
25,2000,88.4
26,2004,88.2
27,2008,87.6
28,2012,86.4
29,2016,85.8
