,date,In DATE: The firefighter had to rescue the child from the burning building because MASK could not just stand by and do nothing.
0,1901,99.2
1,1904,99.4
2,1908,99.3
3,1912,99.3
4,1916,99.3
5,1920,99.3
6,1924,99.1
7,1928,99.2
8,1932,99.1
9,1936,99.2
10,1940,99.3
11,1944,99.2
12,1948,99.1
13,1952,99.0
14,1956,98.8
15,1960,98.8
16,1964,98.5
17,1968,98.5
18,1972,98.4
19,1976,98.5
20,1980,98.1
21,1984,97.6
22,1988,97.2
23,1992,97.3
24,1996,97.4
25,2000,97.6
26,2004,97.4
27,2008,97.3
28,2012,96.6
29,2016,94.8
