,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,27.2
1,1904,29.5
2,1908,29.7
3,1912,24.9
4,1916,24.5
5,1920,23.2
6,1924,24.3
7,1928,29.9
8,1932,27.9
9,1936,27.6
10,1940,30.3
11,1944,28.9
12,1948,30.9
13,1952,30.8
14,1956,34.5
15,1960,40.2
16,1964,33.7
17,1968,31.7
18,1972,32.1
19,1976,36.0
20,1980,28.5
21,1984,27.7
22,1988,26.0
23,1992,27.0
24,1996,25.9
25,2000,26.4
26,2004,21.9
27,2008,19.1
28,2012,16.1
29,2016,15.0
