,date,In DATE: The painter sold an entire collection of paintings to the man because he made an offer that was hard to refuse.
0,1901,98.3
1,1904,98.4
2,1908,98.5
3,1912,98.2
4,1916,97.8
5,1920,98.2
6,1924,98.3
7,1928,98.2
8,1932,98.1
9,1936,98.1
10,1940,98.0
11,1944,98.0
12,1948,98.2
13,1952,98.1
14,1956,98.3
15,1960,98.2
16,1964,98.1
17,1968,98.3
18,1972,98.2
19,1976,98.2
20,1980,98.2
21,1984,98.2
22,1988,98.2
23,1992,98.1
24,1996,98.1
25,2000,97.8
26,2004,97.9
27,2008,97.9
28,2012,97.6
29,2016,97.2
