,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,15.8
1,1904,15.5
2,1908,14.7
3,1912,15.4
4,1916,14.8
5,1920,15.5
6,1924,14.5
7,1928,15.0
8,1932,14.7
9,1936,14.7
10,1940,14.2
11,1944,14.9
12,1948,14.1
13,1952,13.3
14,1956,12.2
15,1960,12.5
16,1964,12.7
17,1968,12.7
18,1972,12.1
19,1976,12.5
20,1980,11.3
21,1984,11.7
22,1988,10.7
23,1992,11.2
24,1996,11.5
25,2000,11.2
26,2004,12.2
27,2008,11.1
28,2012,12.0
29,2016,12.9
