,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,92.0
1,1904,93.2
2,1908,92.2
3,1912,93.7
4,1916,94.4
5,1920,93.1
6,1924,92.4
7,1928,92.8
8,1932,92.4
9,1936,92.6
10,1940,93.6
11,1944,94.1
12,1948,92.3
13,1952,92.3
14,1956,92.8
15,1960,91.8
16,1964,92.2
17,1968,92.2
18,1972,92.1
19,1976,91.9
20,1980,91.3
21,1984,91.7
22,1988,91.1
23,1992,91.2
24,1996,91.1
25,2000,90.2
26,2004,90.2
27,2008,88.4
28,2012,87.7
29,2016,84.8
