,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,87.4
1,1904,88.7
2,1908,89.2
3,1912,88.4
4,1916,88.5
5,1920,87.8
6,1924,89.0
7,1928,88.6
8,1932,89.5
9,1936,90.5
10,1940,88.4
11,1944,88.4
12,1948,89.7
13,1952,89.3
14,1956,89.7
15,1960,88.9
16,1964,90.1
17,1968,89.2
18,1972,89.9
19,1976,89.3
20,1980,87.1
21,1984,86.7
22,1988,86.8
23,1992,87.4
24,1996,87.1
25,2000,85.6
26,2004,85.5
27,2008,85.2
28,2012,84.8
29,2016,84.1
